"id_i","parent_id_i","path_i","type_i","state_s","algorithm_s","feedback_s","from_h","to_h"
"2f90aef6-cc59-494f-a5c9-82b53104595a","63399901-6835-406d-9f4a-cf9ea599f05f","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","225",
"2b4d6dbd-244e-4791-b82b-eba5315e1a55","be964fbb-10fc-4880-97fe-a37d394cc31d","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","225",
"d4eadfd5-d773-4d05-a977-e9b1ecb24a0e","4de25ab9-4fe7-4261-938d-86be13fade01","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","225",
"09ff2325-8344-42ea-8872-a5a0347b2167","e98eefbb-c903-4a3e-8261-7a15154ed9dd","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","225",
"f78024a9-1f88-45c3-92e3-dabfbbed3c72","fd5e46d8-9890-4267-ba8e-8f73a1becdf7","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","242",
"94023626-885a-4055-b42f-bf1fa65803f7","a09ee478-549d-469f-a7ae-33bf3552dbea","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","242",
"7e26df3e-7e5f-4d15-ba47-16fb9adf09f3","9d510132-9357-4cae-97a6-64c6ceeb327e","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","242",
"42bb44e7-f13e-47fa-9e9d-e431a976abab","fa09b663-a84e-4585-afe0-bc96e085ef9b","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","242",
"d00961b9-9c24-41c0-a38d-2ef39d39b955","4f054f70-37be-499d-9962-06e5f61defe4","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","242",
"5489dc3d-8278-4854-b1b8-5ad7cef259ec","aa111dee-363b-4740-9cd4-8cc34b377ec9","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","246",
"f7e9142e-192e-4fa4-91bf-8bb85d57afea","f6ca035e-8aa3-4036-9a2c-07a650a0db66","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","246",
"559f78ad-54f6-426c-90a2-bef09947d49a","5ed1740b-11b8-4dad-b45d-6790a795fe55","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","246",
"8a8ee2e9-26c9-4852-8f7c-e950b36b6c97","061729ad-63e0-4616-895d-d55877dc14eb","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","246",
"f401e86c-e8bb-4c5a-9d30-e705582a8077","47537a83-c2b7-4189-9f5f-d0cc7573a6f6","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","246",
"309c3c9b-d799-4934-925c-2189f7b9d8e5","b4df7fb1-6237-4d2a-ba8d-4d1d6041c5d8","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","246",
"7c2818da-518e-4b52-ac50-86fdad777c69","bf48c562-3b1a-453c-ac26-687c44edbe39","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","288",
"5c980c9d-d120-4dda-8f49-7cda8b08f151","21824eb9-d067-4a3d-aa2e-6498b220dd90","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","288",
"1ce7b355-c384-46f0-a164-c5f8994ac90b","5f767c5a-2f05-4732-84a7-c6b663088f37","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","288",
"10025a7f-ec9b-4298-b741-961f17a3975a","4ae3455b-0f58-4b8f-a1c4-f7b89dfc332d","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","288",
"63d8b49a-fe93-4017-a205-982f79ecc48d","e47c10e3-a2ed-4b98-8dd8-b0c3d89cd58b","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","288",
"8a440209-bcad-4e55-9256-adcc851ab932","f7ac87f9-f041-4644-94a3-5da2fd8f89b3","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","288",
"f6337ceb-66ff-4119-8fde-3cb6c1b90541","b421aa04-8d77-47a7-818c-b6dd90800078","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","288",
"564af979-243b-4d80-bd62-31b1632dd7de","f9221088-ebf7-4422-8869-5f628baac53f","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","288",
"62cf561d-443b-4eaf-9750-c2dcfc1d96c1","47f4a9de-1040-4667-892d-be8942f72bcf","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","309",
"e6978367-1d2a-4aca-b598-1ae0e068e015","58bd6a06-1163-4bdc-a264-e33f1d846975","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","309",
"a805aed9-03fa-4f21-8cc3-a57d8cb9fb05","95ac30f7-7dba-4a2a-a53d-52c385ac9a64","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","309",
"0bdfcbb3-5151-43a9-94ce-7a7366449360","c5a7e0f8-0f0c-45a8-945f-7cbb3eb04d38","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","309",
"8f525cda-fd24-42f4-a996-73043d4c4525","85dff2d3-d2f4-452a-90a3-d85e81c8ec28","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","309",
"30523bd6-3101-46bd-b885-8669b5879931","ae2c1274-c82f-4b05-be56-f9eb4e0bcf00","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","309",
"0d5df57c-81d9-422b-ba30-e86c02cb2f4b","53e6f53a-d838-447d-9560-94ec049b9df6","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","343",
"63b94df7-3342-43b2-899a-ce683c36f239","103d9ef8-c6b2-4b2f-89b2-733fab1851ab","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","343",
"df58c135-d15b-477a-809b-e852a1424f28","46ba6d9e-5629-4470-8247-13e260581e2e","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","343",
"e64797d4-cf96-4884-8632-88543a1de52f","60c8238e-e78d-43b1-b84a-b0e316a9bd17","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","357",
"184eaf5c-cfd0-4407-a50d-4ea09eb71a00","56af7948-970e-41a8-b6e3-cf6611fa8181","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","357",
"b89b4190-2030-4979-8309-28e5a2eb7f45","438b0956-d9a1-424f-8211-36f050ca6c6d","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","357",
"fdccf54c-b0e2-4794-b9a7-ad943ed357e0","0008b223-6d52-484c-acd5-c3fb40323d49","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","357",
"4d57e0bd-dcb6-4cfc-9217-136138a3009d","31023512-be8e-4061-a1ed-23e9ec3c8e6e","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","371",
"21439822-c242-4f1e-bb9a-d829629e99e4","35620a76-6166-4c5a-ab71-6e79fe002ed3","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","371",
"55c3e3b5-a55e-4b87-a5fa-c93756d7854b","d9570e91-6cad-40a8-b5f4-74c8de45f4a8","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","371",
"cc3241ef-419d-4a63-8e67-aaf5941e34da","4f82bf2d-4a16-469f-9e72-be08d561051b","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","371",
"415454e9-e0c0-4a4e-a1aa-c3f56041ddde","93ac27fd-75ae-4cd4-9130-9f0c9c7fcad5","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","376",
"604c3a26-2a54-45c2-8cdd-8c8d9d44ca9a","24cbc229-4e37-4d09-abc1-2b8a49ef023c","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","376",
"f09f4e6b-3d49-4ede-8b8c-0e12c70faf00","381bac33-8557-4555-b824-b333e3cf15a0","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","376",
"a1c61bb2-4ce2-4acd-ba75-06d7e2d2811c","0871d198-d732-4113-917d-18af552334ef","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","376",
"f65415d5-830b-496b-8d51-e50470f6423b","56caecc2-9dd4-4ade-ae3d-4ebbc96da1dc","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","432","440"
"bbf43f49-11a8-4958-a5cd-d93986dacd89","56b3a51e-4d84-49e0-b0ee-d5bb3f00f908","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","344","441"
"a22c6740-2e6a-4d71-983c-242d9c838a79","56c9f9ae-4a6f-41b2-b3d2-5d86b7945a32","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","432","443"
"bb8d9da9-e8b7-48e8-822a-21bf51c5c799","ab4bec13-7304-4097-a2a5-54130c72519d","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","344","444"
"5c23bb38-a29f-41cd-8ff9-917e2eb84fdf","11ae9d8e-f408-4815-9bc2-f6b3360ea0a2","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","432","446"
"eb8feb52-28d3-42f9-916e-2234b3df26cd","018557d5-2d7a-4624-bebf-f2bf35066026","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","344","447"
"c1013fc2-ef13-4835-acb8-cc811812fe07","097c0b01-8a18-48bb-9b6c-69598b4a12c4","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","462","470"
"f65415d5-830b-496b-8d51-e50470f6423b","56caecc2-9dd4-4ade-ae3d-4ebbc96da1dc","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/anomalyState","anomalyState","FALSE","TIME_INDEPENDENT","UNKNOWN","440","471"
"bbf43f49-11a8-4958-a5cd-d93986dacd89","56b3a51e-4d84-49e0-b0ee-d5bb3f00f908","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/anomalyState","anomalyState","FALSE","TIME_INDEPENDENT","UNKNOWN","441","472"
"c7774419-35a3-4320-8712-8b931537cab9","64ccff75-c571-41a7-add0-bc1b0b51ba4c","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","462","474"
"a22c6740-2e6a-4d71-983c-242d9c838a79","56c9f9ae-4a6f-41b2-b3d2-5d86b7945a32","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","FALSE","TIME_INDEPENDENT","UNKNOWN","443","475"
"bb8d9da9-e8b7-48e8-822a-21bf51c5c799","ab4bec13-7304-4097-a2a5-54130c72519d","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","FALSE","TIME_INDEPENDENT","UNKNOWN","444","476"
"a83c2f71-adfd-405e-acac-dad986199d94","46ba325f-0ea2-4bf6-b07b-ec9ff0d62d09","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","462","478"
"5c23bb38-a29f-41cd-8ff9-917e2eb84fdf","11ae9d8e-f408-4815-9bc2-f6b3360ea0a2","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","FALSE","TIME_INDEPENDENT","UNKNOWN","446","479"
"eb8feb52-28d3-42f9-916e-2234b3df26cd","018557d5-2d7a-4624-bebf-f2bf35066026","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","FALSE","TIME_INDEPENDENT","UNKNOWN","447","480"
"5c39775d-6b1c-44ed-a993-65e0f0228c6b","f0fb868c-cbba-4338-afe7-0b036fec8c8a","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","495","503"
"5c39775d-6b1c-44ed-a993-65e0f0228c6b","f0fb868c-cbba-4338-afe7-0b036fec8c8a","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/anomalyState","anomalyState","FALSE","TIME_INDEPENDENT","UNKNOWN","503",
"c1013fc2-ef13-4835-acb8-cc811812fe07","097c0b01-8a18-48bb-9b6c-69598b4a12c4","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/anomalyState","anomalyState","FALSE","TIME_INDEPENDENT","UNKNOWN","470","504"
"c1013fc2-ef13-4835-acb8-cc811812fe07","097c0b01-8a18-48bb-9b6c-69598b4a12c4","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/anomalyState","anomalyState","FALSE","TIME_INDEPENDENT","UNKNOWN","504",
"f65415d5-830b-496b-8d51-e50470f6423b","56caecc2-9dd4-4ade-ae3d-4ebbc96da1dc","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/anomalyState","anomalyState","FALSE","TIME_INDEPENDENT","UNKNOWN","471","505"
"f65415d5-830b-496b-8d51-e50470f6423b","56caecc2-9dd4-4ade-ae3d-4ebbc96da1dc","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/anomalyState","anomalyState","FALSE","TIME_INDEPENDENT","UNKNOWN","505",
"9ce2d892-acf7-4b55-a59a-ad5dee1ec766","9198e94c-e3b3-4eca-8446-9d3c1aeefdf7","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","495","508"
"d8642424-b4f3-4200-9e63-65d254d381d4","56c77419-9f63-41a2-a181-4378454f97aa","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","PENDING",,"UNKNOWN","495","509"
"d8642424-b4f3-4200-9e63-65d254d381d4","56c77419-9f63-41a2-a181-4378454f97aa","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","FALSE","TIME_INDEPENDENT","UNKNOWN","509",
"bbf43f49-11a8-4958-a5cd-d93986dacd89","56b3a51e-4d84-49e0-b0ee-d5bb3f00f908","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/anomalyState","anomalyState","FALSE","TIME_INDEPENDENT","UNKNOWN","472","506"
"bbf43f49-11a8-4958-a5cd-d93986dacd89","56b3a51e-4d84-49e0-b0ee-d5bb3f00f908","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/anomalyState","anomalyState","FALSE","TIME_INDEPENDENT","UNKNOWN","506",
"9ce2d892-acf7-4b55-a59a-ad5dee1ec766","9198e94c-e3b3-4eca-8446-9d3c1aeefdf7","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","TRUE","TIME_INDEPENDENT","UNKNOWN","508",
"a83c2f71-adfd-405e-acac-dad986199d94","46ba325f-0ea2-4bf6-b07b-ec9ff0d62d09","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","FALSE","TIME_INDEPENDENT","UNKNOWN","478","512"
"a83c2f71-adfd-405e-acac-dad986199d94","46ba325f-0ea2-4bf6-b07b-ec9ff0d62d09","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","FALSE","TIME_INDEPENDENT","UNKNOWN","512",
"5c23bb38-a29f-41cd-8ff9-917e2eb84fdf","11ae9d8e-f408-4815-9bc2-f6b3360ea0a2","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","FALSE","TIME_INDEPENDENT","UNKNOWN","479","515"
"5c23bb38-a29f-41cd-8ff9-917e2eb84fdf","11ae9d8e-f408-4815-9bc2-f6b3360ea0a2","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","FALSE","TIME_INDEPENDENT","UNKNOWN","515",
"eb8feb52-28d3-42f9-916e-2234b3df26cd","018557d5-2d7a-4624-bebf-f2bf35066026","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","FALSE","TIME_INDEPENDENT","UNKNOWN","480","516"
"eb8feb52-28d3-42f9-916e-2234b3df26cd","018557d5-2d7a-4624-bebf-f2bf35066026","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","FALSE","TIME_INDEPENDENT","UNKNOWN","516",
"c7774419-35a3-4320-8712-8b931537cab9","64ccff75-c571-41a7-add0-bc1b0b51ba4c","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","FALSE","TIME_INDEPENDENT","UNKNOWN","474","510"
"c7774419-35a3-4320-8712-8b931537cab9","64ccff75-c571-41a7-add0-bc1b0b51ba4c","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","FALSE","TIME_INDEPENDENT","UNKNOWN","510",
"a22c6740-2e6a-4d71-983c-242d9c838a79","56c9f9ae-4a6f-41b2-b3d2-5d86b7945a32","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","FALSE","TIME_INDEPENDENT","UNKNOWN","475","511"
"a22c6740-2e6a-4d71-983c-242d9c838a79","56c9f9ae-4a6f-41b2-b3d2-5d86b7945a32","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","FALSE","TIME_INDEPENDENT","UNKNOWN","511",
"bb8d9da9-e8b7-48e8-822a-21bf51c5c799","ab4bec13-7304-4097-a2a5-54130c72519d","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","FALSE","TIME_INDEPENDENT","UNKNOWN","476","513"
"bb8d9da9-e8b7-48e8-822a-21bf51c5c799","ab4bec13-7304-4097-a2a5-54130c72519d","/sources/locations/catalogItems/profilingConfigurationInstances/profiles/attributeProfiles/anomalyState","anomalyState","FALSE","TIME_INDEPENDENT","UNKNOWN","513",
