"id_i","parent_id_i","path_i","type_i","profileType_s","totalNumOfRecords_s","numberOfProfiledRecords_s","partition_s","profiledAt_s","from_h","to_h"
"63399901-6835-406d-9f4a-cf9ea599f05f","27eb04ce-88dc-4aa6-835c-3a5913e158a0","/sources/locations/catalogItems/profilingConfigurationInstances/profiles","catalogItemProfile","FULL","3","3",,"2020-12-13T12:10:50.571652+01:00","225",
"fd5e46d8-9890-4267-ba8e-8f73a1becdf7","d4b4e15b-e7e1-423c-a2c8-5a458033b180","/sources/locations/catalogItems/profilingConfigurationInstances/profiles","catalogItemProfile","FULL","7","7",,"2020-12-13T12:11:19.893951+01:00","242",
"aa111dee-363b-4740-9cd4-8cc34b377ec9","19c61b29-8767-4ed1-ae95-d156737779c8","/sources/locations/catalogItems/profilingConfigurationInstances/profiles","catalogItemProfile","FULL","163","163",,"2020-12-13T12:11:34.383299+01:00","246",
"bf48c562-3b1a-453c-ac26-687c44edbe39","0792876a-a172-438a-8bf4-7c2dfef647cd","/sources/locations/catalogItems/profilingConfigurationInstances/profiles","catalogItemProfile","FULL","13532","13532",,"2020-12-13T12:11:54.948576+01:00","288",
"47f4a9de-1040-4667-892d-be8942f72bcf","6225a771-5d26-437f-b861-69f3c463d901","/sources/locations/catalogItems/profilingConfigurationInstances/profiles","catalogItemProfile","FULL","19614","19614",,"2020-12-13T12:12:13.401479+01:00","309",
"53e6f53a-d838-447d-9560-94ec049b9df6","45826641-95ea-41b5-88d1-75754c5a6c91","/sources/locations/catalogItems/profilingConfigurationInstances/profiles","catalogItemProfile","FULL","1000","1000",,"2021-02-10T15:33:39.623952+01:00","343",
"56b3a51e-4d84-49e0-b0ee-d5bb3f00f908","107149d9-a6d2-4285-802d-37bbc7f9a17d","/sources/locations/catalogItems/profilingConfigurationInstances/profiles","catalogItemProfile","FULL","1000","1000",,"2021-02-10T15:33:39.657949+01:00","344",
"60c8238e-e78d-43b1-b84a-b0e316a9bd17","b0fcc1fe-6cd5-45d6-bec6-75fc0e2256b4","/sources/locations/catalogItems/profilingConfigurationInstances/profiles","catalogItemProfile","FULL","1183","1183",,"2021-02-10T15:33:42.405752+01:00","357",
"31023512-be8e-4061-a1ed-23e9ec3c8e6e","f9a5dcd9-829f-4891-ac3d-c28c395575fc","/sources/locations/catalogItems/profilingConfigurationInstances/profiles","catalogItemProfile","FULL","1000","1000",,"2021-02-10T15:33:45.502053+01:00","371",
"93ac27fd-75ae-4cd4-9130-9f0c9c7fcad5","7d2f6ac7-17d4-4b56-b243-d8d3466cd164","/sources/locations/catalogItems/profilingConfigurationInstances/profiles","catalogItemProfile","FULL","1000","1000",,"2021-02-10T15:33:46.076702+01:00","376",
"56caecc2-9dd4-4ade-ae3d-4ebbc96da1dc","107149d9-a6d2-4285-802d-37bbc7f9a17d","/sources/locations/catalogItems/profilingConfigurationInstances/profiles","catalogItemProfile","FULL","1000","1000",,"2021-02-10T15:42:37.085238+01:00","432",
"097c0b01-8a18-48bb-9b6c-69598b4a12c4","107149d9-a6d2-4285-802d-37bbc7f9a17d","/sources/locations/catalogItems/profilingConfigurationInstances/profiles","catalogItemProfile","FULL","1000","1000",,"2021-02-10T15:52:17.857108+01:00","462",
"f0fb868c-cbba-4338-afe7-0b036fec8c8a","107149d9-a6d2-4285-802d-37bbc7f9a17d","/sources/locations/catalogItems/profilingConfigurationInstances/profiles","catalogItemProfile","FULL","1000","1000",,"2021-02-10T15:54:11.240421+01:00","495",
"9957ed1b-58b5-46e1-a3ce-3420332f71dc","03dbc451-0c15-47e0-a51b-efadc43108fd","/sources/locations/catalogItems/profilingConfigurationInstances/profiles","catalogItemProfile","FULL","139317","139317",,"2021-03-22T17:51:57.980354+01:00","539",
