"id_i","parent_id_i","path_i","type_i","threshold_s","target_ri","target_rh","order_s","name_s","from_h","to_h"
"93c06839-66e2-4a14-a4df-118769cefd5a","c8a3b36f-3425-4e95-99a8-b2b3c68ad7c0","/terms/detectionRules/ruleInstances","ruleInstance","80.0","3b9971a2-dd89-46d3-b593-92522f3b1e95",,"0",,"73",
"c2f32e5b-1f24-49bd-a5f1-259c9d979b9b","415a00b2-8a27-43b5-85dd-da9d699e55f0","/terms/detectionRules/ruleInstances","ruleInstance","50.0","48073ac4-104c-4412-bdac-65359749da0d",,"0",,"73",
"539416fa-9a38-45f8-bf9e-2b3db0726ffd","8f811b9e-9488-44ba-a5e6-7e5ab6a22c16","/terms/detectionRules/ruleInstances","ruleInstance","50.0","907b4fb1-b79d-4dfb-97cb-587640abee1d",,"0",,"73",
"9fd8fa8e-62c8-4c2f-98f5-b7e8f82befe4","8a9c6644-a766-4724-ab85-6a58e708d73e","/terms/detectionRules/ruleInstances","ruleInstance","50.0","df633eeb-9aa5-4632-a73e-9afe2b79ea59",,"0",,"73",
"0e75e4e7-31d8-42f8-98bf-a1d99eb605c7","60da73e0-7bc4-45a2-9d67-0f01a83d25b1","/terms/detectionRules/ruleInstances","ruleInstance","50.0","e3dc5663-fa89-4cf5-aebf-1aba2546f382",,"0",,"73",
"8c9d379b-b899-490a-b203-13b73fa37c4d","ed04ba45-6299-4170-8beb-e3f8227c9507","/terms/detectionRules/ruleInstances","ruleInstance","80.0","520b50e1-ff08-4326-9240-706dbef3b024",,"0",,"73",
"3a98514d-288f-442c-b1a0-57e0be2868cc","ed04ba45-6299-4170-8beb-e3f8227c9507","/terms/detectionRules/ruleInstances","ruleInstance","20.0","5effa30d-c676-46c8-89c0-21f35e9bd615",,"0",,"73",
"3c7d8f28-4995-4c20-ab6d-612b00261caa","62efa777-1de0-4af9-9494-ed7fbc70b037","/terms/detectionRules/ruleInstances","ruleInstance","60.0","6486ed6c-5e66-4361-b21d-1f3f42db1fc3",,"0",,"73",
"10d32cc8-e17e-4fc4-abe3-8478a30666c4","7b3ba819-195a-41cd-8694-4d95d0170522","/terms/detectionRules/ruleInstances","ruleInstance","50.0","64a4ca08-cfcb-4fb1-9e36-558676b0800b",,"0",,"73",
"5c5d6792-8db6-47f5-8519-c08779a19023","e2de1fcb-54ca-4978-99e0-6eecd26eee75","/terms/detectionRules/ruleInstances","ruleInstance","50.0","4a20e039-34e0-4e71-8025-c13d552803b4",,"0",,"73",
"95f02c1b-9e85-4a04-b924-84228bee256a","14a73ad2-041d-4130-ae9f-bb6e6ba5ec41","/terms/detectionRules/ruleInstances","ruleInstance","50.0","0e1dc69b-dcc3-45f7-8cb6-29c9d72827a6",,"0",,"73",
