"id_i","parent_id_i","path_i","type_i","name_s","description_s","ruleDefinitionSource_s","owner_ri","owner_rh","steward_ri","steward_rh","from_h","to_h"
"3babc4dc-3f07-4432-b90d-b45c61555c56","00000000-0000-0000-0000-000000000001","/rules","rule","validation E-mail","An email address identifies an email box to which email messages are delivered It is made up of a localpart an symbol then a caseinsensitive domain",,,,,,"73",
"3b9971a2-dd89-46d3-b593-92522f3b1e95","00000000-0000-0000-0000-000000000001","/rules","rule","ISIN","This domain validates ISIN and by doing so tells you if you have ISIN in the profiled data It works by calculating validation algorithm for ISIN See https://en.wikipedia.org/wiki/International_Securities_Identification_Number",,,,,,"73",
"9e1ede82-9fe0-495c-bd8d-c1f875be5651","00000000-0000-0000-0000-000000000001","/rules","rule","validation Credit card number","Credit card number is the card identifier found on payment cards such as credit cards and debit cards The leading six digits of the card number is the issuer identification number The remaining numbers on the card except the last digit are the individual account identification number The last digit is the Luhn check digit httpsenwikipediaorgwikiPaymentcardnumber",,,,,,"73",
"4d97f9e6-7ec4-4d1d-a61e-789b0debe539","00000000-0000-0000-0000-000000000001","/rules","rule","validation [CAN] Social Insurance Number","A social insurance number SIN is a number issued in Canada to administer various government programs",,,,,,"73",
"48073ac4-104c-4412-bdac-65359749da0d","00000000-0000-0000-0000-000000000001","/rules","rule","URL","URL",,,,,,"73",
"907b4fb1-b79d-4dfb-97cb-587640abee1d","00000000-0000-0000-0000-000000000001","/rules","rule","[GBR] National Insurance Number","The National Insurance number is a number used in the United Kingdom in the administration of the National Insurance or social security system",,,,,,"73",
"df633eeb-9aa5-4632-a73e-9afe2b79ea59","00000000-0000-0000-0000-000000000001","/rules","rule","[GBR] ZIP Code","The regex expression is made by UK government and is copied from https is enwikipediaorgwikiPostcodesintheUnitedKingdom",,,,,,"73",
"e3dc5663-fa89-4cf5-aebf-1aba2546f382","00000000-0000-0000-0000-000000000001","/rules","rule","Credit card number","Credit card number is the card identifier found on payment cards such as credit cards and debit cards The leading six digits of the card number is the issuer identification number The remaining numbers on the card except the last digit are the individual account identification number The last digit is the Luhn check digit https is enwikipediaorgwikiPaymentcardnumber",,,,,,"73",
"520b50e1-ff08-4326-9240-706dbef3b024","00000000-0000-0000-0000-000000000001","/rules","rule","[USA] Zip code","USA Zip code",,,,,,"73",
"5effa30d-c676-46c8-89c0-21f35e9bd615","00000000-0000-0000-0000-000000000001","/rules","rule","[CAN] Social Insurance Number","A social insurance number SIN is a number issued in Canada to administer various government programs",,,,,,"73",
"6486ed6c-5e66-4361-b21d-1f3f42db1fc3","00000000-0000-0000-0000-000000000001","/rules","rule","[North America] Phone Number","Phone numbers data in the North American format",,,,,,"73",
"64a4ca08-cfcb-4fb1-9e36-558676b0800b","00000000-0000-0000-0000-000000000001","/rules","rule","IPv4","IPv4",,,,,,"73",
"4a20e039-34e0-4e71-8025-c13d552803b4","00000000-0000-0000-0000-000000000001","/rules","rule","IPv6","IPv6",,,,,,"73",
"0e1dc69b-dcc3-45f7-8cb6-29c9d72827a6","00000000-0000-0000-0000-000000000001","/rules","rule","[CAN] ZIP code","Canadian postal code",,,,,,"73",
"7c09c041-df3e-46b8-b596-9326e1ba1cff","00000000-0000-0000-0000-000000000001","/rules","rule","E-mail","An email address identifies an email box to which email messages are delivered It is made up of a localpart an symbol then a caseinsensitive domain",,,,,,"73",
"92458674-3ab0-44c5-b2f9-a0130b3094f9","00000000-0000-0000-0000-000000000001","/rules","rule","[GBR] Phone Number","Phone numbers data satisfying the UK numbering format",,,,,,"73",
"dbe0b58f-849b-4aa0-9e2d-079297a15a15","00000000-0000-0000-0000-000000000001","/rules","rule","[USA] Social Security Number","SSN is a ninedigit number issued to US citizens permanent residents and temporary working residents under section 205c2 of the Social Security Act codified as 42 USC ﾂｧ 405c2",,,,,,"73",
"789b8cad-956b-46be-97b6-d81aab57ac2b","00000000-0000-0000-0000-000000000001","/rules","rule","Gender","Gender",,,,,,"73",
"5ca308f8-5a48-42d4-9371-7e9654543409","00000000-0000-0000-0000-000000000001","/rules","rule","validation Gender","Gender",,,,,,"73",
"cc3f340b-f986-4a66-828c-fec495d6a325","00000000-0000-0000-0000-000000000001","/rules","rule","string",,,,,,,"73",
"18f5b86e-249c-42b7-9115-676bf802cab0","00000000-0000-0000-0000-000000000001","/rules","rule","random 70%","[{""type"":""paragraph"",""children"":[{""text"":""Random validity rule for testing purposes""}]}]",,,,,,"73",
